appid,name,developers,publishers,total_recommendations,related_appids,not_recommended,recommended
2246340,Monster Hunter Wilds,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",129784,,178,179
1771300,Kingdom Come: Deliverance II,Warhorse Studios,Deep Silver,73353,,28,372
1295660,Sid Meier's Civilization VII,Firaxis Games,2K,31122,,48,33
2457220,Avowed,Obsidian Entertainment,Xbox Game Studios,8970,,15,22
3241660,R.E.P.O.,semiwork,semiwork,133584,,11,189
3061810,Like a Dragon: Pirate Yakuza in Hawaii,Ryu Ga Gotoku Studio,SEGA,4245,,3,22
2385530,PGA TOUR 2K25,HB Studios,2K,1656,,6,10
3244220,A Game About Digging A Hole,DoubleBee,"rokaplay Bou·tique, Drillhounds",12992,,5,38
1763250,SWORN,Windwalk Games,Team17,1986,,4,15
1902960,Lost Records: Bloom & Rage,DON'T NOD,DON'T NOD,3204,,3,31
1239080,Door Kickers 2: Task Force North,KillHouse Games,KillHouse Games,9822,,2,12
2073250,Rift of the NecroDancer,"Brace Yourself Games, Tic Toc Games",Klei Publishing,2898,,4,14
2668430,The Legend of Heroes: Trails through Daybreak II,"Nihon Falcom, PH3 GmbH","NIS America, Inc.",349,,1,3
3178350,WARRIORS: Abyss,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1091,,3,16
2344320,Legacy: Steel & Sorcery,Notorious Studios,Notorious Studios,2430,,3,0
2525380,Tomb Raider IV-VI Remastered,"Aspyr, Crystal Dynamics",Aspyr,862,,1,3
2376580,TRIBE NINE,Akatsuki Games Inc.,Akatsuki Games Inc.,0,,0,0
2756920,Keep Driving,YCJY Games,YCJY Games,2528,,1,31
2089600,Urban Myth Dissolution Center,Hakababunko,SHUEISHA GAMES,3456,,6,69
1270580,Mind Over Magic,Sparkypants,Klei Publishing,3281,,0,9
3300410,Garten of Banban 0,Euphoric Brothers,Euphoric Brothers,0,,0,0
2239140,Grapples Galore,Zoteling,Zoteling,0,,0,0
3347400,GIRLS' FRONTLINE 2: EXILIUM,"SUNBORN Information Co., Ltd.",Darkwinter Software Limited,0,,0,0
3471350,Alpha League HD,Beaveroid Entertainment,Beaveroid Entertainment,0,,0,0
3483400,ARK: Astraeos,Studio Wildcard,"Studio Wildcard, Snail Games USA",376,,4,0
3469800,Company of Heroes 3: Fire & Steel,Relic Entertainment,Relic Entertainment,537,,3,0
2972410,Destiny 2: Heresy Silver Bundle,Bungie,Bungie,0,,0,0
3255980,Ranch Simulator: Southwest Ranch & Farm Expansion Pack,Toxic Dog,Excalibur Games,194,,0,2
3445910,Warframe: Lavos Prime Access - Weapons Pack,Digital Extremes,Digital Extremes,0,,0,0
2384580,DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",13695,,6,40
2909400,FINAL FANTASY VII REBIRTH,Square Enix,Square Enix,13701,,23,60
2651280,Marvel's Spider-Man 2,"Insomniac Games, Nixxes Software",PlayStation Publishing LLC,13317,,7,47
3058630,Assetto Corsa EVO,KUNOS Simulazioni,505 Games,8826,,30,37
2495100,Hello Kitty Island Adventure,Sunblink,Sunblink,4292,,1,30
2634950,Tokyo Xtreme Racer,"Genki Co.,Ltd.","Genki Co.,Ltd.",10724,,1,21
619820,Heroes of Hammerwatch II,Crackshell,Crackshell,3931,,4,6
690830,Foundation,Polymorph Games,Polymorph Games,18863,,9,14
2169200,Sniper Elite: Resistance,Rebellion,Rebellion,2520,,1,10
1133870,Space Engineers 2,Keen Software House,Keen Software House,1832,,1,4
3287520,NINJA GAIDEN 2 Black,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2135,,1,6
1660080,Aloft,Astrolabe Interactive Inc.,Funcom,1879,,1,4
3059070,The Headliners,KAFI,KAFI,4444,,8,63
1245480,SYNDUALITY Echo of Ada,Game Studio Inc.,Bandai Namco Entertainment,2152,,2,0
1534840,Hyper Light Breaker,Heart Machine,Arc Games,2904,,2,4
516750,My Summer Car,Amistech Games,Amistech Games,83559,,5,95
2273980,Orcs Must Die! Deathtrap,Robot Entertainment,Robot Entertainment,2904,,6,19
2530980,Tales of Graces f Remastered,"TOSE CO., LTD.",Bandai Namco Entertainment,483,,0,1
2725260,ENDER MAGNOLIA: Bloom in the Mist,"Adglobe, Live Wire",Binary Haze Interactive,12201,,3,58
1426450,Age of Darkness: Final Stand,PlaySide,PlaySide,8398,,4,9
3301060,Desktop Mate,infiniteloop,infiniteloop,0,,0,0
3198850,Play Together,"HAEGIN Co.,Ltd.","HAEGIN Co.,Ltd.",0,,0,0
1690710,Incremental Epic Hero 2,Hapiwaku,"Idle System, Inc.",0,,0,0
2994020,Puck,NS7,NS7,0,,0,0
3174480,Return to campus,聂宇星,聂宇星,0,,0,0
